ID,InstallYear,Diameter,Length,Material,ExpBreak (Target),Age2018
6365,1923,6,447.03,3,1,95
10974,1923,6,270.4,3,1,95
6628,1923,8,582.86,3,1,95
30567,1923,6,306.82,3,1,95
41690,1923,12,362,3,1,95
41690,1923,12,362,3,1,95
24527,1923,12,195.43,3,1,95
41781,1923,8,691.81,3,1,95
41781,1923,8,691.81,3,1,95
26805,1923,8,296.01,3,1,95
26306,1923,6,667.64,3,1,95
25832,1923,6,308.22,3,1,95
25885,1923,6,430.19,3,1,95
29303,1923,6,242.4,3,1,95
25334,1923,6,571.27,3,1,95
25472,1923,6,533.47,3,1,95
36979,1923,6,368.53,3,1,95
36979,1923,6,368.53,3,1,95
38929,1923,4,444.86,3,1,95
38968,1923,8,309.44,3,1,95
37757,1923,6,39.03,3,1,95
37791,1923,12,253.26,3,1,95
36990,1923,8,183.78,3,1,95
36531,1923,12,300.89,3,1,95
37899,1923,6,416.67,3,1,95
36651,1923,6,329.84,3,1,95
36692,1923,8,381.39,3,1,95
36696,1923,6,20.4,3,1,95
36711,1923,8,15.6,3,1,95
6922,1915,6,14.83,3,1,103
6933,1915,6,28.64,3,1,103
25076,1915,12,18.25,3,1,103
36629,1915,6,41.15,3,1,103
15041,2002,6,5.21,6,1,16
24254,1995,6,2.39,6,1,23
24254,1995,6,2.39,6,1,23
28808,1995,2,412.61,6,1,23
28808,1995,2,412.61,6,1,23
28703,1995,2,168.28,14,1,23
16119,1991,6,16.85,6,1,27
38771,1987,6,14.59,6,1,31
18266,1978,6,452.66,6,1,40
18266,1978,6,452.66,6,1,40
12291,1965,6,16.92,6,1,53
5227,1965,2,627.27,14,1,53
11960,1965,6,1.66,6,1,53
34006,1965,6,18,6,1,53
34006,1965,6,18,6,1,53
34006,1965,6,18,6,1,53
34006,1965,6,18,6,1,53
4581,1956,6,599.14,0,1,62
39400,1956,6,12.35,3,1,62
16926,1956,4,664.45,3,1,62
5295,1956,6,12.59,3,1,62
18023,1956,4,752.7,0,1,62
18023,1956,4,752.7,0,1,62
32612,1956,2,335.88,14,1,62
37641,1956,6,6.03,3,1,62
3748,1955,2,496.73,14,1,63
3748,1955,2,496.73,14,1,63
21199,1955,2,503.45,8,1,63
2019,1945,2,29.58,14,1,73
22263,1945,2,740.23,14,1,73
29215,1945,2,360.72,14,1,73
24986,1945,2,600.34,14,1,73
26252,1945,2,195.35,14,1,73
36820,1945,2,416.94,14,1,73
34853,1945,4,1708.92,3,1,73
35771,1945,2,230,14,1,73
24228,1944,6,20.42,3,1,74
24229,1944,6,15.63,3,1,74
1879,1944,4,291.05,3,1,74
1879,1944,4,291.05,3,1,74
22880,1944,6,22.57,3,1,74
22881,1944,6,30.1,3,1,74
37840,1944,6,293.39,3,1,74
22891,1934,2,18,14,1,84
28690,1930,12,322.7,3,1,88
29246,1923,6,12.29,3,1,95
29247,1923,6,8.09,3,1,95
24255,1914,6,3.82,3,1,104
24255,1914,6,3.82,3,1,104
24262,1914,6,1.72,3,1,104
24263,1914,6,2.36,3,1,104
6542,1914,6,16.2,3,1,104
19663,1914,6,18.23,3,1,104
18415,2008,6,292.83,12,1,10
35158,2005,4,290.04,12,1,13
23443,2004,4,242.16,12,1,14
37439,2003,8,5.14,12,1,15
1859,1998,8,575.68,12,1,20
1863,1998,8,613.62,12,1,20
1863,1998,8,613.62,12,1,20
9588,1998,8,386.54,12,1,20
1781,1997,6,393.32,12,1,21
39733,1997,12,21.66,12,1,21
9869,1996,12,534.25,12,1,22
9869,1996,12,534.25,12,1,22
9869,1996,12,534.25,12,1,22
2778,1995,6,264.38,6,1,23
2780,1995,6,106.91,6,1,23
1865,1995,8,21.76,12,1,23
1868,1995,8,313.24,12,1,23
21012,1995,8,375.27,12,1,23
16919,1994,8,221.64,12,1,24
1866,1994,8,14.45,12,1,24
2200,1992,8,455.37,12,1,26
1669,1992,8,235.42,12,1,26
25031,1992,8,83.34,12,1,26
21801,1992,6,92.25,6,1,26
41891,1992,12,98.06,12,1,26
11663,1991,4,522.86,12,1,27
17660,1990,8,636.09,12,1,28
15440,1987,8,327.15,12,1,31
3511,1987,8,807.52,6,1,31
18964,1987,12,257.9,12,1,31
38471,1987,8,271.81,6,1,31
39140,1987,8,216.44,12,1,31
24252,1985,6,478.15,6,1,33
9992,1985,6,59.9,6,1,33
3052,1985,8,200.29,6,1,33
1867,1985,8,15.55,12,1,33
25413,1980,6,514.53,6,1,38
10085,1979,6,22.1,6,1,39
5076,1978,8,516.57,6,1,40
3151,1976,8,241.01,6,1,42
21780,1976,6,615.94,6,1,42
16702,1975,6,411.11,6,1,43
5952,1974,8,375.54,6,1,44
14786,1974,12,815.66,6,1,44
14786,1974,12,815.66,6,1,44
10152,1974,6,265.29,6,1,44
1404,1973,6,592.64,6,1,45
14483,1973,12,718.41,6,1,45
18216,1973,8,337.86,6,1,45
41358,1973,8,121.81,6,1,45
1454,1972,6,500.16,6,1,46
1454,1972,6,500.16,6,1,46
1454,1972,6,500.16,6,1,46
1477,1972,6,394.51,6,1,46
17011,1972,6,697.34,6,1,46
20135,1972,6,1072.21,6,1,46
23659,1972,12,538.31,6,1,46
22896,1972,8,852.14,6,1,46
19117,1971,6,250.46,6,1,47
4965,1970,8,273.92,3,1,48
21368,1970,16,494.93,3,1,48
23534,1970,12,1031.54,3,1,48
41384,1970,12,524.88,3,1,48
