ID,InstallYear,Diameter,Material,Length,Age2018,ExpBreak (Target)
11315,1954,6,1,26.26,64,1
11315,1954,6,1,26.26,64,1
19972,1954,6,1,693.45,64,1
43172,1954,4,1,636.26,64,1
43182,1954,4,1,612.96,64,1
40680,1954,6,1,556.69,64,1
9584,1945,12,6,1089.45,73,1
9584,1945,12,6,1089.45,73,1
32265,1945,2.5,6,484.97,73,1
1468,1944,6,1,1035.89,74,1
3953,1944,4,1,1288.84,74,1
11331,1944,6,1,14.5,74,1
6389,1944,6,1,968.8,74,1
6389,1944,6,1,968.8,74,1
6389,1944,6,1,968.8,74,1
34456,1944,6,1,686.55,74,1
22723,1944,6,1,348.74,74,1
22815,1944,4,1,433.9,74,1
36976,1944,6,1,347.44,74,1
38956,1944,6,1,332.64,74,1
32245,1944,6,1,894.58,74,1
27532,1935,6,0,758.78,83,1
36952,1935,8,1,14.49,83,1
2937,1930,8,1,311.22,88,1
10481,1930,6,1,209.3,88,1
10481,1930,6,1,209.3,88,1
6979,1930,6,1,318.72,88,1
6069,1930,8,1,319.48,88,1
6328,1930,8,1,469.86,88,1
18159,1930,6,1,367.54,88,1
19461,1930,8,1,448.15,88,1
19493,1930,8,1,206.49,88,1
22797,1930,6,1,606.88,88,1
22801,1930,6,1,578.61,88,1
36964,1930,8,1,361.45,88,1
25383,1930,6,1,301.04,88,1
37017,1930,8,1,293.09,88,1
37023,1930,6,1,360.52,88,1
37023,1930,6,1,360.52,88,1
37115,1930,6,1,797.04,88,1
37115,1930,6,1,797.04,88,1
41572,1930,6,1,292.9,88,1
41573,1930,6,1,18.37,88,1
32238,1930,6,1,508.68,88,1
11330,1925,8,1,14.5,93,1
3848,1923,8,1,348.57,95,1
24354,1923,6,1,554.48,95,1
28516,1923,6,1,19.97,95,1
5526,1923,6,1,346.84,95,1
5547,1923,8,1,300.62,95,1
11272,1923,6,1,483.15,95,1
6763,1923,6,1,316.59,95,1
6768,1923,8,1,469.68,95,1
6811,1923,4,1,17.27,95,1
6814,1923,4,1,429.39,95,1
6814,1923,4,1,429.39,95,1
5994,1923,6,1,462.12,95,1
6007,1923,6,1,404.4,95,1
6037,1923,6,1,674.97,95,1
6037,1923,6,1,674.97,95,1
29105,1923,4,1,12.18,95,1
26380,1923,6,1,386.07,95,1
10703,1923,6,1,49.82,95,1
24975,1923,6,1,475.28,95,1
24979,1923,6,1,456.12,95,1
31538,1923,12,1,319.88,95,1
31593,1923,4,1,527.21,95,1
31593,1923,4,1,527.21,95,1
31593,1923,4,1,527.21,95,1
31593,1923,4,1,527.21,95,1
25949,1923,6,1,19.54,95,1
6528,1923,6,1,302.85,95,1
6625,1923,8,1,35.95,95,1
34339,1923,8,1,244.28,95,1
25175,1923,4,1,443.93,95,1
25175,1923,4,1,443.93,95,1
26625,1923,6,1,300.11,95,1
26627,1923,6,1,348.35,95,1
26648,1923,6,1,396.28,95,1
26713,1923,4,1,16.24,95,1
26155,1923,6,1,16.38,95,1
26167,1923,6,1,14.69,95,1
26368,1923,6,1,687.08,95,1
24157,1923,4,1,653.47,95,1
25817,1923,6,1,293.54,95,1
